iter	Passed	Remaining
932	4524	324
933	4528	320
934	4533	315
935	4539	310
936	4544	305
937	4549	300
938	4553	295
939	4558	290
940	4562	286
941	4567	281
942	4571	276
943	4576	271
944	4580	266
945	4586	261
946	4591	256
947	4596	252
948	4601	247
949	4606	242
950	4611	237
951	4616	232
952	4620	227
953	4624	223
954	4629	218
955	4634	213
956	4639	208
957	4644	203
958	4649	198
959	4654	193
960	4659	189
961	4664	184
962	4668	179
963	4674	174
964	4678	169
965	4684	164
966	4688	159
967	4693	155
968	4698	150
969	4703	145
970	4707	140
971	4712	135
972	4717	130
973	4722	126
974	4727	121
975	4733	116
976	4737	111
977	4742	106
978	4746	101
979	4751	96
980	4755	92
981	4760	87
982	4765	82
983	4771	77
984	4776	72
985	4782	67
986	4786	63
987	4791	58
988	4796	53
989	4801	48
990	4806	43
991	4811	38
992	4815	33
993	4820	29
994	4824	24
995	4830	19
996	4834	14
997	4839	9
998	4844	4
999	4849	0
